dataset,n,format,raw_size_mib,compressed_size_mib,encode_seconds,decode_seconds,encode_mb_s,decode_mb_s,compression_ratio,encode_time_ratio,decode_time_ratio,encode_rss_mb,decode_rss_mb,trace_wall_seconds,trace_timeout,trace_target_seen,cpu_symbol_status,cpu_top_symbol,cpu_top_count,cpu_top_category,cpu_parse_hits,cpu_encode_hits,cpu_fse_hits,cpu_swift_array_hits,OS 版本,機器型號,encode_cpu_power_mw,decode_cpu_power_mw,encode_cpu_energy_j,decode_cpu_energy_j,encode_cpu_energy_ratio_tgz,decode_cpu_energy_ratio_tgz,encode_energy_impact,decode_energy_impact
claw-code,8,TGZ,1351M,469M,4.40,2.27,321.74,624.51,1.0000,1.00,1.00,164.2,41.9,32.19,no,yes,ok,0x1a418290c,78,other,,,,,27.0 (26A5406e),"Mac16,10",16161.111,4257.500,69.496495,7.096690,1.0000,1.0000,,
claw-code,8,LZFSE (Other3),1351M,460M,2.38,1.41,595.44,1007.56,0.9813,0.54,0.62,200.9,107.2,60.65,no,yes,ok,specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:),277,encode,353,346,,332,27.0 (26A5406e),"Mac16,10",15757.000,10450.750,34.527355,5.377301,0.4968,0.7577,,
claw-code,8,LZFSE (Optimal3),1351M,438M,23.65,1.37,59.89,1031.41,0.9346,5.37,0.60,359.2,100.9,60.64,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal2(_:maxL:maxM:maxDist:),754,parse,1217,349,,348,27.0 (26A5406e),"Mac16,10",17575.067,12108.333,397.718949,5.525193,5.7229,0.7786,,
claw-code,8,LZFSE (Lazy2),1351M,407M,23.19,1.70,61.07,831.42,0.8690,5.27,0.75,327.3,102.4,60.62,no,yes,ok,"specialized Array.withUnsafeBufferPointer<A, B>(_:)",463,swift_array,1419,453,,655,27.0 (26A5406e),"Mac16,10",5798.907,11497.250,125.248428,6.879207,1.8022,0.9694,,
claw-code,8,LZFSE (Optimal),1351M,387M,41.96,1.74,33.76,811.71,0.8257,9.54,0.77,362.1,99.8,60.64,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:),1001,parse,1605,486,,429,27.0 (26A5406e),"Mac16,10",13305.244,11569.250,562.009662,6.903021,8.0869,0.9727,,
claw-code,8,LZFSE (BVX3),1351M,433M,2.39,1.60,593.27,887.38,0.9248,0.54,0.70,187.7,106.4,60.66,no,yes,ok,specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:),366,encode,375,471,,421,27.0 (26A5406e),"Mac16,10",16030.600,10510.200,35.197153,6.914199,0.5065,0.9743,,
claw-code,8,LZFSE (Apple),1351M,460M,9.17,1.89,154.39,749.23,0.9820,2.08,0.83,1356.5,470.2,60.64,no,yes,ok,lzfseEncodeMatches,83,apple_lzfse,,,,,27.0 (26A5406e),"Mac16,10",5258.444,4632.200,46.465305,3.770669,0.6686,0.5313,,
claw-code,8,TLZ4,1351M,552M,2.31,1.30,613.70,1091.22,1.1785,0.53,0.57,82.5,34.0,2.69,no,yes,ok,LZ4HC_compress_generic_noDictCtx,296,external_tool,,,,,27.0 (26A5406e),"Mac16,10",14847.800,2184.000,30.529721,1.051620,0.4393,0.1482,,
claw-code,8,ZSTD,1351M,366M,2.98,1.99,475.21,710.35,0.7806,0.68,0.88,394.9,410.3,3.39,no,yes,ok,ZSTD_compressBlock_lazy2_row,165,external_tool,,,,,27.0 (26A5406e),"Mac16,10",13791.833,3097.333,38.257373,2.914154,0.5505,0.4106,,
claw-code,40,TGZ,1351M,469M,4.36,2.20,325.04,643.69,1.0000,1.00,1.00,178.2,42.3,32.19,no,yes,ok,0x1a418290c,78,other,,,,,27.0 (26A5406e),"Mac16,10",16161.111,4257.500,69.496495,7.096690,1.0000,1.0000,,
claw-code,40,LZFSE (Other3),1351M,460M,2.21,1.34,639.55,1054.34,0.9813,0.51,0.61,350.8,315.8,60.65,no,yes,ok,specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:),281,encode,379,350,,350,27.0 (26A5406e),"Mac16,10",17379.750,11277.333,33.711938,4.641130,0.4851,0.6540,,
claw-code,40,LZFSE (Optimal3),1351M,438M,21.09,1.48,67.17,959.02,0.9346,4.84,0.67,566.9,321.5,60.63,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal2(_:maxL:maxM:maxDist:),771,parse,1238,347,,348,27.0 (26A5406e),"Mac16,10",17736.650,10179.333,356.849835,3.809606,5.1348,0.5368,,
claw-code,40,LZFSE (Lazy2),1351M,407M,20.32,1.73,69.69,818.91,0.8690,4.66,0.79,500.7,328.5,60.65,no,yes,ok,"specialized Array.withUnsafeBufferPointer<A, B>(_:)",461,swift_array,1409,469,,683,27.0 (26A5406e),"Mac16,10",5856.974,12194.333,112.270869,5.683991,1.6155,0.8009,,
claw-code,40,LZFSE (Optimal),1351M,387M,39.10,1.72,36.22,822.78,0.8257,8.97,0.78,584.5,334.1,60.65,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:),1003,parse,1602,475,,429,27.0 (26A5406e),"Mac16,10",13425.284,12795.000,509.608987,6.088066,7.3329,0.8579,,
claw-code,40,LZFSE (BVX3),1351M,433M,2.18,1.89,650.78,750.89,0.9248,0.50,0.86,363.5,316.0,60.63,no,yes,ok,specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:),372,encode,375,475,,413,27.0 (26A5406e),"Mac16,10",14721.400,10728.750,28.684426,5.545759,0.4127,0.7815,,
claw-code,40,LZFSE (Apple),1351M,460M,9.20,1.78,153.91,796.79,0.9820,2.11,0.81,1356.5,470.2,60.66,no,yes,ok,lzfseEncodeMatches,88,apple_lzfse,,,,,27.0 (26A5406e),"Mac16,10",5050.111,4413.400,44.490640,3.581116,0.6402,0.5046,,
claw-code,40,TLZ4,1351M,552M,2.31,1.11,612.91,1270.65,1.1785,0.53,0.50,80.3,34.0,2.69,no,yes,ok,LZ4HC_compress_generic_noDictCtx,296,external_tool,,,,,27.0 (26A5406e),"Mac16,10",14847.800,2184.000,30.529721,1.051620,0.4393,0.1482,,
claw-code,40,ZSTD,1351M,366M,2.96,1.36,479.18,1043.29,0.7806,0.68,0.62,396.8,410.5,3.39,no,yes,ok,ZSTD_compressBlock_lazy2_row,165,external_tool,,,,,27.0 (26A5406e),"Mac16,10",13791.833,3097.333,38.257373,2.914154,0.5505,0.4106,,
llama.cpp,4,TGZ,1385M,604M,4.08,3.05,356.26,475.62,1.0000,1.00,1.00,196.0,39.4,35.58,no,yes,ok,0x1a418290c,74,other,,,,,27.0 (26A5406e),"Mac16,10",15624.667,3923.333,62.776926,4.799354,1.0000,1.0000,,
llama.cpp,4,LZFSE (Other3),1385M,602M,4.11,2.86,353.11,506.97,0.9971,1.01,0.94,138.4,74.8,60.63,no,yes,ok,specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:),220,encode,317,289,,287,27.0 (26A5406e),"Mac16,10",14933.500,9166.750,40.910605,5.112391,0.6517,1.0652,,
llama.cpp,4,LZFSE (Optimal3),1385M,586M,27.03,3.07,53.73,473.64,0.9705,6.62,1.01,219.4,67.1,60.66,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal2(_:maxL:maxM:maxDist:),634,parse,972,268,,251,27.0 (26A5406e),"Mac16,10",15960.226,7858.000,430.172399,3.870618,6.8524,0.8065,,
llama.cpp,4,LZFSE (Lazy2),1385M,575M,9.71,3.33,149.56,436.50,0.9522,2.38,1.09,375.7,66.0,60.64,no,yes,ok,"specialized Array.withUnsafeBufferPointer<A, B>(_:)",374,swift_array,1056,373,,540,27.0 (26A5406e),"Mac16,10",8275.368,7897.500,78.074322,3.974464,1.2437,0.8281,,
llama.cpp,4,LZFSE (Optimal),1385M,565M,36.53,3.15,39.75,460.55,0.9347,8.95,1.03,229.9,70.3,60.64,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:),824,parse,1246,371,,322,27.0 (26A5406e),"Mac16,10",14195.069,9856.250,519.703449,6.168412,8.2786,1.2853,,
llama.cpp,4,LZFSE (BVX3),1385M,592M,4.17,3.01,348.67,482.17,0.9796,1.02,0.99,141.1,77.6,60.63,no,yes,ok,specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:),283,encode,359,378,,347,27.0 (26A5406e),"Mac16,10",15744.500,8587.200,44.688275,5.787452,0.7119,1.2059,,
llama.cpp,4,LZFSE (Apple),1385M,604M,8.81,3.11,164.76,467.27,0.9993,2.16,1.02,1320.5,614.5,60.65,no,yes,ok,lzfseEncodeMatches,81,apple_lzfse,,,,,27.0 (26A5406e),"Mac16,10",5431.800,4365.167,40.805386,3.833797,0.6500,0.7988,,
llama.cpp,4,TLZ4,1385M,640M,4.00,2.52,363.52,576.91,1.0592,0.98,0.83,82.2,34.1,2.93,no,yes,ok,LZ4HC_compress_generic_noDictCtx,292,external_tool,,,,,27.0 (26A5406e),"Mac16,10",17445.600,1847.000,40.302617,0.762879,0.6420,0.1590,,
llama.cpp,4,ZSTD,1385M,548M,3.34,2.95,435.15,491.65,0.9069,0.82,0.97,521.0,592.0,2.57,no,yes,ok,ZSTD_compressBlock_lazy2_row,146,external_tool,,,,,27.0 (26A5406e),"Mac16,10",12574.400,2962.500,25.674800,1.593419,0.4090,0.3320,,
llama.cpp,8,TGZ,1385M,604M,4.07,3.07,357.25,472.98,1.0000,1.00,1.00,192.9,39.4,35.58,no,yes,ok,0x1a418290c,74,other,,,,,27.0 (26A5406e),"Mac16,10",15624.667,3923.333,62.776926,4.799354,1.0000,1.0000,,
llama.cpp,8,LZFSE (Other3),1385M,602M,3.49,2.80,416.08,519.22,0.9971,0.86,0.91,224.8,107.5,60.62,no,yes,ok,specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:),277,encode,373,348,,340,27.0 (26A5406e),"Mac16,10",16563.250,9921.000,30.641446,4.153155,0.4881,0.8654,,
llama.cpp,8,LZFSE (Optimal3),1385M,586M,19.29,2.79,75.27,520.60,0.9705,4.74,0.91,401.9,119.0,60.65,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal2(_:maxL:maxM:maxDist:),788,parse,1288,335,,329,27.0 (26A5406e),"Mac16,10",17093.921,8508.000,328.022242,3.174664,5.2252,0.6615,,
llama.cpp,8,LZFSE (Lazy2),1385M,575M,8.07,2.93,180.04,496.43,0.9522,1.98,0.95,582.6,103.4,60.65,no,yes,ok,"specialized Array.withUnsafeBufferPointer<A, B>(_:)",414,swift_array,1151,490,,632,27.0 (26A5406e),"Mac16,10",7689.750,8683.667,59.260912,3.419503,0.9440,0.7125,,
llama.cpp,8,LZFSE (Optimal),1385M,565M,27.29,3.30,53.22,440.65,0.9347,6.71,1.07,405.4,107.0,60.66,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:),987,parse,1587,479,,438,27.0 (26A5406e),"Mac16,10",14852.453,10858.667,404.267581,5.141576,6.4397,1.0713,,
llama.cpp,8,LZFSE (BVX3),1385M,592M,3.61,3.53,402.03,410.92,0.9796,0.89,1.15,239.4,110.6,60.64,no,yes,ok,specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:),369,encode,360,487,,403,27.0 (26A5406e),"Mac16,10",17555.750,8922.750,33.818852,4.456069,0.5387,0.9285,,
llama.cpp,8,LZFSE (Apple),1385M,604M,8.80,4.44,164.98,327.09,0.9993,2.16,1.45,1320.5,614.5,60.65,no,yes,ok,lzfseEncodeMatches,87,apple_lzfse,,,,,27.0 (26A5406e),"Mac16,10",5504.733,4088.667,41.359211,3.584459,0.6588,0.7469,,
llama.cpp,8,TLZ4,1385M,640M,3.99,2.66,364.00,545.00,1.0592,0.98,0.87,84.0,34.1,2.93,no,yes,ok,LZ4HC_compress_generic_noDictCtx,292,external_tool,,,,,27.0 (26A5406e),"Mac16,10",17445.600,1847.000,40.302617,0.762879,0.6420,0.1590,,
llama.cpp,8,ZSTD,1385M,548M,3.35,3.54,433.85,410.13,0.9069,0.82,1.15,521.3,592.0,2.57,no,yes,ok,ZSTD_compressBlock_lazy2_row,146,external_tool,,,,,27.0 (26A5406e),"Mac16,10",12574.400,2962.500,25.674800,1.593419,0.4090,0.3320,,
llama.cpp,40,TGZ,1385M,604M,4.13,3.07,351.97,472.66,1.0000,1.00,1.00,172.3,39.4,35.58,no,yes,ok,0x1a418290c,74,other,,,,,27.0 (26A5406e),"Mac16,10",15624.667,3923.333,62.776926,4.799354,1.0000,1.0000,,
llama.cpp,40,LZFSE (Other3),1385M,602M,3.40,2.77,427.66,524.17,0.9971,0.82,0.90,346.4,349.8,60.65,no,yes,ok,specialized static LZFSEv1.encodeBlock(triplets:literals:rawBytes:),286,encode,384,365,,351,27.0 (26A5406e),"Mac16,10",15508.250,8572.667,26.306723,2.878608,0.4191,0.5998,,
llama.cpp,40,LZFSE (Optimal3),1385M,586M,17.78,2.92,81.70,497.58,0.9705,4.31,0.95,616.2,349.5,60.66,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal2(_:maxL:maxM:maxDist:),748,parse,1214,340,,321,27.0 (26A5406e),"Mac16,10",17583.265,10941.500,305.074538,3.267653,4.8597,0.6809,,
llama.cpp,40,LZFSE (Lazy2),1385M,575M,7.90,2.86,183.77,507.86,0.9522,1.91,0.93,629.6,347.6,60.61,no,yes,ok,"specialized Array.withUnsafeBufferPointer<A, B>(_:)",422,swift_array,1184,485,,629,27.0 (26A5406e),"Mac16,10",7794.733,7656.667,56.806673,2.385327,0.9049,0.4970,,
llama.cpp,40,LZFSE (Optimal),1385M,565M,25.30,4.21,57.40,344.85,0.9347,6.13,1.37,582.2,347.9,60.65,no,yes,ok,specialized closure #1 in static LZFSEv1.lzParseOptimal(_:maxL:maxM:maxDist:),987,parse,1580,489,,436,27.0 (26A5406e),"Mac16,10",14996.776,9254.667,373.214804,3.334453,5.9451,0.6948,,
llama.cpp,40,LZFSE (BVX3),1385M,592M,3.50,3.71,414.93,391.96,0.9796,0.85,1.21,342.7,348.6,60.62,no,yes,ok,specialized static LZFSEv1.encodeBlockV3(triplets:literals:rawBytes:),371,encode,382,489,,421,27.0 (26A5406e),"Mac16,10",16103.500,9990.333,28.069173,3.860894,0.4471,0.8045,,
llama.cpp,40,LZFSE (Apple),1385M,604M,8.88,4.35,163.59,333.79,0.9993,2.15,1.42,1320.5,614.5,60.64,no,yes,ok,lzfseEncodeMatches,87,apple_lzfse,,,,,27.0 (26A5406e),"Mac16,10",5436.133,4061.667,40.817221,3.568616,0.6502,0.7436,,
llama.cpp,40,TLZ4,1385M,640M,3.99,3.44,363.99,421.64,1.0592,0.97,1.12,78.1,34.1,2.93,no,yes,ok,LZ4HC_compress_generic_noDictCtx,292,external_tool,,,,,27.0 (26A5406e),"Mac16,10",17445.600,1847.000,40.302617,0.762879,0.6420,0.1590,,
llama.cpp,40,ZSTD,1385M,548M,3.37,2.35,430.61,616.93,0.9069,0.82,0.77,521.2,592.0,2.57,no,yes,ok,ZSTD_compressBlock_lazy2_row,146,external_tool,,,,,27.0 (26A5406e),"Mac16,10",12574.400,2962.500,25.674800,1.593419,0.4090,0.3320,,
